user_id,product_id,eval_set,order_id
1,1,train,1
3,9,train,13
5,20,train,26
6,26,train,36
7,35,train,44
8,46,train,51
8,75,train,53
8,50,train,55
8,41,train,57
8,56,train,59
9,81,train,94
10,83,train,101
12,101,train,116
12,102,train,118
14,327,train,137
16,35263,train,147
18,124,train,158
20,134,train,171
21,139,train,178
23,147,train,190
24,152,train,199
26,160,train,210
28,53762,train,221
29,174,train,227
30,108200,train,235
32,187,train,249
33,193,train,257
35,12549,train,267
36,206,train,277
37,152495,train,286
39,221,train,297
41,228,train,308
42,232,train,316
44,242,train,329
46,251,train,341
48,137765,train,352
48,262,train,354
50,279,train,372
51,282,train,382
52,287,train,390
53,61169,train,398
53,312,train,400
53,324,train,402
54,270,train,433
55,330,train,439
57,347,train,452
57,340,train,454
58,17434,train,465
59,122456,train,473
61,120,train,485
62,371,train,493
64,380,train,506
65,383,train,513
67,4538,train,526
69,4493,train,538
71,405,train,548
72,422,train,555
72,409,train,557
74,437,train,580
74,432,train,582
75,447,train,598
77,457,train,611
78,25873,train,618
79,472,train,632
80,9948,train,638
81,486,train,650
82,12374,train,656
83,499,train,667
84,508,train,673
85,511,train,684
87,516,train,694
88,152515,train,700
90,106505,train,713
92,6763,train,724
94,551,train,734
94,552,train,736
96,2508,train,753
98,563,train,763
99,570,train,771
100,590,train,777
100,576,train,779
100,595,train,781
102,42533,train,810
103,608,train,818
104,617,train,825
105,628,train,835
106,634,train,849
107,640,train,857
108,663,train,864
108,654,train,866
109,671,train,889
110,680,train,899
111,122333,train,910
113,689,train,921
114,152521,train,927
116,707,train,943
118,54136,train,955
119,722,train,964
121,729,train,975
122,730,train,981
124,750,train,996
125,752,train,1007
125,758,train,1009
127,152522,train,1024
128,772,train,1032
129,780,train,1042
131,11694,train,1055
131,790,train,1057
133,3573,train,1077
134,815,train,1087
136,137788,train,1101
137,829,train,1109
138,836,train,1115
140,12390,train,1131
142,152523,train,1144
142,864,train,1146
143,137791,train,1165
143,882,train,1167
144,891,train,1181
146,896,train,1194
146,900,train,1196
148,917,train,1213
149,920,train,1223
150,923,train,1230
151,935,train,1242
153,942,train,1254
155,948,train,1264
157,140432,train,1275
159,963,train,1285
161,972,train,1297
162,979,train,1308
164,987,train,1318
166,993,train,1331
166,1000,train,1333
168,1008,train,1350
169,1014,train,1356
171,1025,train,1372
172,30708,train,1383
174,1039,train,1394
175,137801,train,1403
176,1058,train,1409
177,37609,train,1421
179,1066,train,1431
181,1076,train,1441
182,1090,train,1449
182,1083,train,1451
183,137805,train,1466
184,1102,train,1473
185,1115,train,1487
186,2658,train,1496
188,75700,train,1509
189,1131,train,1516
190,1140,train,1530
191,1148,train,1539
192,1153,train,1545
192,1152,train,1547
193,1170,train,1570
194,45621,train,1579
196,4047,train,1590
198,43459,train,1601
199,7979,train,1609
201,1203,train,1620
203,1219,train,1630
203,1211,train,1632
204,1224,train,1647
